smiles,polymer_type,molecular_weight,glass_transition_c,melting_temp_c,tensile_strength_mpa,elongation_pct,density_g_cm3,youngs_modulus_gpa
*OC(COCC(=O)C)C*,Phenolic,5000,180,0,45,1,1.32,4.5
*Cc1ccccc1Cc1ccccc1*,Polyester-UP,5000,90,0,50,2,1.22,3.2
*CC(=O)NCC*,Polyimide,30000,280,0,110,5,1.42,2.8
*OCC(=O)NC*,Polyamideimide,25000,275,0,95,8,1.4,2.8
*OC(C)C(=O)O*,Polyethersulfone,35000,220,0,80,60,1.37,2.6
*OC(C)C(=O)O*,Polysulfone,30000,190,0,70,80,1.24,2.5
*OCCOCC(=O)C*,Liquid-crystal,30000,110,280,200,4,1.4,9.0
*CC(=O)OC*,Acrylic-cast,120000,105,0,70,4,1.19,3.2
*CC(=O)OC*,Acrylic-extruded,120000,105,0,65,6,1.19,3.0
*OC(C)C(=O)O*,LCP-Vectra,30000,110,280,200,4,1.4,9.0
*CC(=O)O*,EVA-15,80000,-25,85,18,700,0.95,0.05
*CC(=O)O*,EVA-28,80000,-45,65,22,800,0.95,0.04
*CC(=O)O*,Ionomer,80000,50,95,25,400,0.94,0.3
*C(C)C(C)C(C)*,Syndiotactic-PP,200000,-5,165,35,100,0.9,1.3
*OCC(=O)O*,Biodegradable,50000,45,145,30,200,1.22,1.2
*OC(C)C(=O)O*,Stereo-PLA,100000,60,180,60,8,1.24,3.5
*OC(C)C(=O)O*,Racemic-PLA,100000,55,0,35,5,1.25,2.0
*OC(C)C(=O)O*,TMC-PLA,100000,45,145,30,200,1.2,1.0
*OCC(=O)NC*,Biobased-PA,30000,60,220,70,200,1.13,2.0
*OC(C)C(=O)O*,Bio-PE,200000,-110,130,25,600,0.95,0.9
*OC(C)C(=O)O*,Bio-PET,30000,75,250,55,100,1.38,2.8
*OC(C)C(=O)O*,Bio-PTT,30000,55,228,50,150,1.33,2.5
*OC(C)C(=O)O*,Bio-PA56,30000,55,220,65,200,1.14,1.9
*OCCOCC(=O)C*,Recycled-PET,30000,75,250,50,80,1.38,2.5
*C(C)C(C)C(C)*,Recycled-PP,200000,-10,165,28,300,0.91,1.3
*CClCCl*,Recycled-PVC,80000,80,180,50,50,1.4,3.0
*C(Cc1ccccc1)*,Recycled-PS,200000,100,0,35,3,1.05,2.8
*OCC(=O)NC*,Aramid-Kevlar,30000,375,0,3600,3,1.44,130
*OCC(=O)NC*,Aramid-Nomex,30000,275,0,380,25,1.38,12
*OCC(=O)NC*,Aramid-Twaron,30000,350,0,3200,3,1.45,120
*OCC(=O)NC*,Aramid-Technora,30000,290,0,2800,5,1.39,70
*OCC(=O)NC*,PE-Dyneema,5000000,-110,145,3200,4,0.97,110
*OCC(=O)NC*,PE-Spectra,5000000,-110,145,3000,4,0.97,100
*OCC(=O)NC*,Carbon-fiber-T300,0,0,0,3530,1.5,1.76,230
*OCC(=O)NC*,Carbon-fiber-T700,0,0,0,4900,1.8,1.8,240
*OCC(=O)NC*,Carbon-fiber-T800,0,0,0,5880,1.9,1.81,295
*OCC(=O)NC*,Carbon-fiber-M60J,0,0,0,3920,0.7,1.93,588
