formula,synthesis_method,synthesis_temp_c,capacity_mah_g,cycle_life,voltage_v,energy_density_wh_kg,safety_score,cost_usd_kg
Li2NiO2,solid-state,700,200,300,3.0,600,0.55,32
LiFeSO4F,ionothermal,350,140,800,3.6,505,0.85,25
Li2FeSiO4,sol-gel,700,165,600,3.1,510,0.88,18
Li2MnSiO4,sol-gel,700,150,400,3.2,480,0.85,16
Li2CoSiO4,sol-gel,750,140,350,3.3,460,0.7,22
K2FeSO4F,solid-state,400,130,700,3.6,470,0.85,20
Na2FeSO4F,ionothermal,350,125,750,3.5,440,0.85,18
LiFeBO3,solid-state,600,180,500,3.0,540,0.85,22
LiMnBO3,solid-state,650,160,400,3.1,500,0.85,20
LiCoBO3,solid-state,700,150,350,3.2,480,0.7,25
LiVS2,solid-state,600,250,300,2.0,500,0.7,35
LiCrS2,solid-state,650,200,250,2.2,440,0.65,40
LiTiS2,solid-state,600,230,400,2.1,480,0.85,28
LiNiS2,solid-state,650,220,300,2.0,440,0.55,30
Li2SnO3,solid-state,800,250,200,1.5,375,0.7,35
Li2PbO3,solid-state,700,180,150,2.5,450,0.5,50
Li2RuO3,solid-state,900,250,200,3.0,750,0.7,200
Li2IrO3,solid-state,1000,220,250,3.2,700,0.7,500
MoO3,hydrothermal,200,280,350,2.5,700,0.7,35
WO3,hydrothermal,200,200,400,2.0,400,0.75,38
Fe2O3,hydrothermal,200,250,300,1.8,450,0.85,8
Fe3O4,hydrothermal,200,280,350,1.5,420,0.85,10
Co3O4,hydrothermal,200,320,400,2.0,640,0.7,45
NiO,hydrothermal,200,250,350,1.8,450,0.7,25
CuO,hydrothermal,200,280,300,1.8,500,0.7,18
ZnO,hydrothermal,200,250,300,1.5,375,0.85,12
MnO2,hydrothermal,180,300,400,2.0,600,0.8,15
Mn2O3,solid-state,600,220,300,1.8,400,0.8,12
CoS2,hydrothermal,200,400,500,1.5,600,0.7,35
NiS2,hydrothermal,200,350,400,1.5,525,0.7,25
FeS2,hydrothermal,200,380,450,1.5,570,0.8,10
