formula,storage_mechanism,particle_size_nm,storage_capacity_wt_pct,desorption_temp_c,enthalpy_kj_mol,entropy_j_mol_k,kinetics_min,cycle_stability
LiNH2,chemical-hydride,1000,8.7,280,70,100,60,100
LiNH2-LiH,chemical-hydride,100,6.5,250,60,95,30,200
LiNH2-MgH2,chemical-hydride,100,5.5,200,45,90,20,250
Mg(NH2)2,chemical-hydride,1000,7.2,250,60,95,30,150
Mg(NH2)2-LiH,chemical-hydride,100,5.6,200,45,90,20,300
Ca(NH2)2,chemical-hydride,1000,5.5,250,55,95,30,150
Ca(NH2)2-LiH,chemical-hydride,100,4.5,200,40,85,20,200
MOF-5,physisorption,1000,1.6,-196,4,30,1,1000
MOF-177,physisorption,1000,7.5,-196,4,30,1,1000
MOF-210,physisorption,1000,8.6,-196,4,30,1,1000
MOF-200,physisorption,1000,8.0,-196,4,30,1,1000
MOF-808,physisorption,1000,2.5,-196,4,30,1,1000
UiO-66,physisorption,1000,1.5,-196,4,30,1,1000
UiO-67,physisorption,1000,2.5,-196,4,30,1,1000
MIL-101,physisorption,1000,6.1,-196,4,30,1,1000
MIL-53,physisorption,1000,3.0,-196,4,30,1,1000
HKUST-1,physisorption,1000,3.6,-196,4,30,1,1000
Co-MOF-74,physisorption,1000,2.5,-196,4,30,1,1000
Mg-MOF-74,physisorption,1000,2.8,-196,4,30,1,1000
Ni-MOF-74,physisorption,1000,2.6,-196,4,30,1,1000
Zn-MOF-74,physisorption,1000,2.4,-196,4,30,1,1000
Activated-C,physisorption,1000,5.5,-196,4,30,1,1000
AX-21,physisorption,1000,7.3,-196,4,30,1,1000
SWCNT,physisorption,1000,5.0,-196,4,30,1,1000
MWCNT,physisorption,1000,4.0,-196,4,30,1,1000
Graphene,physisorption,1000,4.5,-196,4,30,1,1000
Graphene-oxide,physisorption,1000,3.5,-196,4,30,1,1000
Zeolite-13X,physisorption,1000,1.0,-196,4,30,1,1000
Zeolite-5A,physisorption,1000,0.8,-196,4,30,1,1000
