formula,crystal_structure,doping_type,band_gap_ev,electron_mobility_cm2_vs,hole_mobility_cm2_vs,dielectric_constant,thermal_conductivity_w_mk,carrier_concentration_cm3
CdS,wurtzite,intrinsic,2.42,350,50,9.0,20,10000000000.0
CdSe,wurtzite,n-type,1.74,720,75,9.5,9,1e+16
CdSe,wurtzite,intrinsic,1.74,720,75,9.5,9,100000000000.0
CdTe,zincblende,n-type,1.5,1100,100,10.2,6,1e+16
CdTe,zincblende,p-type,1.5,1100,100,10.2,6,1e+17
CdTe,zincblende,intrinsic,1.5,1100,100,10.2,6,10000000000.0
HgCdTe,zincblende,n-type,0.2,20000,600,16.0,5,1e+16
HgCdTe,zincblende,intrinsic,0.2,20000,600,16.0,5,10000000000000.0
PbS,rocksalt,n-type,0.41,800,600,17.0,2.5,1e+17
PbS,rocksalt,intrinsic,0.41,800,600,17.0,2.5,100000000000000.0
PbSe,rocksalt,n-type,0.27,1500,1500,22.0,2,1e+17
PbSe,rocksalt,intrinsic,0.27,1500,1500,22.0,2,1000000000000000.0
PbTe,rocksalt,n-type,0.31,6000,4000,28.0,2,1e+17
PbTe,rocksalt,intrinsic,0.31,6000,4000,28.0,2,1e+16
SnTe,rocksalt,p-type,0.18,800,700,30.0,4,1e+20
TiO2-rutile,tetragonal,n-type,3.0,0.1,0.1,114.0,9,1e+19
TiO2-anatase,tetragonal,n-type,3.2,10,1,31.0,9,1e+18
ZnO,wurtzite,n-type,3.37,200,180,8.5,60,1e+17
ZnO,wurtzite,intrinsic,3.37,200,180,8.5,60,100000000000.0
SnO2,tetragonal,n-type,3.6,250,50,9.0,100,1e+18
In2O3,bixbyite,n-type,3.7,200,50,8.9,10,1e+19
Ga2O3,monoclinic,n-type,4.85,100,20,10.0,27,1e+17
Ga2O3,monoclinic,intrinsic,4.85,100,20,10.0,27,10000000000.0
MoS2-2H,hexagonal,n-type,1.3,400,200,7.0,90,1e+16
MoS2-1L,hexagonal,n-type,1.85,1000,500,4.0,50,1e+16
WS2-2H,hexagonal,n-type,1.4,500,200,7.0,110,1e+16
WSe2-2H,hexagonal,p-type,1.2,200,500,7.0,10,1e+17
MoSe2-2H,hexagonal,p-type,1.1,200,500,7.0,50,1e+17
MoTe2-2H,hexagonal,p-type,1.0,100,400,7.0,25,1e+17
Black-P,orthorhombic,p-type,0.3,1000,600,12.0,10,1e+16
Black-P-1L,orthorhombic,p-type,2.0,10000,5000,6.0,30,1e+16
Graphene,hexagonal,n-type,0,200000,500,4.0,5000,1000000000000.0
h-BN,hexagonal,intrinsic,5.95,0.001,0.001,5.0,400,10000000000.0
Diamond,diamond,p-type,5.47,2400,2100,5.7,2200,1e+17
Diamond,diamond,intrinsic,5.47,2400,2100,5.7,2200,10000000000.0
Al2O3,corundum,intrinsic,8.8,0,0,9.4,30,10000000000.0
SiO2,amorphous,intrinsic,9.0,0,0,3.9,1.4,10000000000.0
Si3N4,hexagonal,intrinsic,5.3,0,0,7.5,30,10000000000.0
HfO2,monoclinic,intrinsic,5.7,0,0,25.0,1.5,10000000000.0
ZrO2,monoclinic,intrinsic,5.8,0,0,22.0,2,10000000000.0
BaTiO3,perovskite,n-type,3.0,0.1,0.1,1500,5,1e+18
SrTiO3,perovskite,n-type,3.2,8,100,300,12,1e+18
LiNbO3,ilmenite,intrinsic,4.0,0,0,30,4,10000000000.0
KNbO3,perovskite,intrinsic,3.3,0,0,50,4,10000000000.0
