formula,processing_method,heat_treatment_temp_c,yield_strength_mpa,tensile_strength_mpa,elongation_pct,hardness_hv,youngs_modulus_gpa,density_g_cm3
Ti-15V-3Cr-3Al-3Sn,STA,510,1100,1250,8,390,100,4.78
Ti-15Mo-3Nb-3Al-0.2Si,annealed,750,950,1020,14,320,95,4.97
Ti-3Al-8V-6Cr-4Mo-4Zr,STA,540,1300,1450,6,440,100,4.79
Al-2Li-2Cu-0.5Mg,T6,510,380,470,6,130,78,2.65
Al-2Li-2Cu-0.5Mg,T8,180,480,540,5,150,78,2.65
Al-3Li-1Cu-0.5Mg-0.5Zr,T6,510,420,500,5,140,80,2.55
Mg-1.5Zn-0.5Zr-0.4RE,T5,200,230,300,10,65,45,1.83
Mg-2Nd-0.5Zn-0.5Zr,T6,200,250,320,8,75,45,1.83
Mg-3Y-2RE-0.5Zr,T5,250,260,320,8,70,45,1.83
Mg-5Y-3RE-0.5Zr,T5,250,280,340,7,75,45,1.84
Fe-23Mn-0.6C,TWIP,25,480,950,55,250,200,7.85
Fe-25Mn-3Al-3Si,TWIP,25,450,900,60,230,200,7.7
Fe-18Mn-0.6C-2Al,TWIP,25,500,1000,50,260,200,7.8
Fe-12Cr-10Ni-2Mo,annealed,1050,280,620,50,195,200,7.95
Fe-20Cr-25Ni,annealed,1100,300,650,48,200,200,8.0
Fe-30Cr-30Ni,annealed,1100,320,680,45,210,200,8.05
Ni-30Cu-3Fe,annealed,950,250,580,45,140,180,8.83
Ni-30Cu-3Fe,cold-worked,25,580,720,18,200,180,8.83
Ni-30Cr-3Fe,annealed,1050,270,640,48,170,200,8.18
Cu-5Al-2Sn,annealed,600,200,460,45,95,110,8.65
Cu-5Al-2Sn,cold-worked,25,450,600,18,170,110,8.65
Fe-0.1C-2.0Mn-0.5Si,TMCP,25,420,520,25,180,210,7.85
Fe-0.05C-1.8Mn-0.4Si,TMCP,25,380,480,28,165,210,7.85
Fe-0.05C-1.5Mn-0.3Nb,TMCP,25,450,550,24,195,210,7.85
Fe-0.06C-1.6Mn-0.3Mo,TMCP,25,500,620,22,220,210,7.85
