formula,catalyst_type,support_material,overpotential_mv,tafel_slope_mv_dec,exchange_current_density_ma_cm2,faradaic_efficiency_pct,stability_hours,turnover_frequency_s1
MoSe2,selenide,Glassy carbon,170,60,0.05,93,100,0.2
WSe2,selenide,Glassy carbon,180,62,0.04,92,90,0.18
NiMo,alloy,Ni foam,90,60,0.25,97,300,1
NiMo,alloy,Glassy carbon,100,65,0.2,96,250,0.8
CoMo,alloy,Glassy carbon,110,70,0.15,95,200,0.6
NiW,alloy,Glassy carbon,120,75,0.12,94,180,0.5
CoW,alloy,Glassy carbon,130,78,0.1,93,160,0.4
Au,metal,Glassy carbon,250,100,0.01,90,500,0.05
Ag,metal,Glassy carbon,320,120,0.005,88,300,0.02
Cu,metal,Glassy carbon,450,150,0.002,85,200,0.01
Cu2O,oxide,Glassy carbon,400,130,0.005,87,250,0.03
CuO,oxide,Glassy carbon,420,140,0.004,86,220,0.025
NiO,oxide,Glassy carbon,350,120,0.01,88,300,0.05
Co3O4,oxide,Glassy carbon,320,110,0.015,89,350,0.08
Fe2O3,oxide,FTO,400,130,0.005,87,250,0.03
Fe3O4,oxide,Glassy carbon,380,125,0.008,88,280,0.04
MnO2,oxide,Glassy carbon,380,130,0.005,87,200,0.025
Mn2O3,oxide,Glassy carbon,400,135,0.004,86,180,0.02
CoFe2O4,spinel,Glassy carbon,350,115,0.01,89,300,0.06
NiFe2O4,spinel,Glassy carbon,360,120,0.008,88,280,0.05
ZnFe2O4,spinel,Glassy carbon,400,130,0.005,86,200,0.025
MnFe2O4,spinel,Glassy carbon,380,125,0.006,87,220,0.03
Co3O4-Fe2O3,composite,Glassy carbon,300,100,0.02,91,400,0.1
NiO-Fe2O3,composite,Glassy carbon,320,110,0.015,90,350,0.08
Pt-Co3O4,composite,Glassy carbon,60,45,0.3,96,25000,8
Pt-NiO,composite,Glassy carbon,70,50,0.25,95,20000,6
Au-Fe2O3,composite,FTO,300,90,0.02,92,800,0.15
Ag-Cu2O,composite,Glassy carbon,320,100,0.015,91,600,0.1
Cu3N,nitride,Glassy carbon,280,90,0.025,93,500,0.2
CoN,nitride,Glassy carbon,200,70,0.04,94,400,0.3
Ni3N,nitride,Glassy carbon,180,65,0.05,95,500,0.35
MoN,nitride,Glassy carbon,220,75,0.03,93,300,0.25
WN,nitride,Glassy carbon,230,78,0.025,92,280,0.2
FeN4-graphene,single-atom,Graphene,80,60,0.2,95,1000,1.5
CoN4-graphene,single-atom,Graphene,70,55,0.25,96,1500,2
NiN4-graphene,single-atom,Graphene,90,65,0.15,94,800,1
CuN4-graphene,single-atom,Graphene,110,75,0.1,92,600,0.7
MnN4-graphene,single-atom,Graphene,100,70,0.12,93,700,0.8
FeN4-CNT,single-atom,Carbon nanotube,75,58,0.22,95,1200,1.8
CoN4-CNT,single-atom,Carbon nanotube,65,52,0.28,96,1800,2.2
NiFe-NC,single-atom,N-doped carbon,130,75,0.1,93,800,0.7
CoFe-NC,single-atom,N-doped carbon,120,70,0.12,94,900,0.8
