formula,cell_type,deposition_method,efficiency_pct,band_gap_ev,voc_v,jsc_ma_cm2,fill_factor,stability_hours
PM6:Y6-BO,organic,spin-coating,17.6,1.4,0.84,26.5,0.78,3000
D18:Y6,organic,spin-coating,18.2,1.4,0.86,27.0,0.78,3000
PCE10:PCBM,organic,spin-coating,10.0,1.7,0.82,15.0,0.7,2000
N719-TiO2,DSSC,spin-coating,11.2,1.8,0.75,19.0,0.72,1000
N749-TiO2,DSSC,spin-coating,11.5,1.6,0.75,20.0,0.72,1000
Y123-TiO2,DSSC,spin-coating,10.8,1.8,0.75,18.5,0.71,1500
C106-TiO2,DSSC,spin-coating,11.9,1.6,0.75,20.5,0.74,1500
SM315-TiO2,DSSC,spin-coating,13.0,1.6,0.8,20.5,0.78,2000
Cobalt-DSSC,DSSC,spin-coating,14.3,1.6,0.85,21.0,0.78,2000
Quantum-dot-PbS,QD,spin-coating,13.0,1.3,0.62,28.0,0.65,500
Quantum-dot-PbSe,QD,spin-coating,11.0,1.3,0.6,26.0,0.62,500
Quantum-dot-HgTe,QD,spin-coating,8.0,1.0,0.5,20.0,0.6,300
a-Si:H,thin-film,PECVD,10.1,1.7,0.89,16.5,0.69,5000
μc-Si:H,thin-film,PECVD,10.5,1.1,0.55,25.0,0.71,5000
a-Si:H/μc-Si:H,tandem-thin,PECVD,14.0,1.4,1.45,14.0,0.74,8000
a-Si:H/a-SiGe:H,tandem-thin,PECVD,12.5,1.5,1.2,13.0,0.7,5000
a-Si:H/μc-Si:H/μc-Si:H,triple-thin,PECVD,16.3,1.5,2.0,10.0,0.78,8000
Se,thin-film,vacuum-evap,5.0,1.95,0.95,5.0,0.6,1000
Bi2S3,thin-film,CBD,1.5,1.4,0.4,6.0,0.45,500
SnS,thin-film,vacuum-evap,4.4,1.3,0.4,18.0,0.5,1000
FeS2,thin-film,vacuum-evap,2.8,0.95,0.3,12.0,0.45,500
Cu2O,thin-film,electrodeposition,2.0,2.0,0.8,5.0,0.45,1000
CuO,thin-film,thermal-oxidation,0.5,1.4,0.4,3.0,0.4,500
MoS2-1L,2D,CVD,1.0,1.85,1.05,3.0,0.3,100
MoSe2-1L,2D,CVD,0.7,1.55,0.85,2.5,0.3,100
WSe2-1L,2D,CVD,1.9,1.65,1.05,5.0,0.35,200
Black-P-1L,2D,CVD,0.5,0.4,0.2,5.0,0.3,100
MoS2/Au,2D-metal,CVD,5.0,1.85,1.05,8.0,0.55,500
Ga2O3,wide-gap,MOCVD,0.5,4.85,2.5,0.5,0.4,1000
ZnO,wide-gap,ALD,0.5,3.37,1.5,1.0,0.3,1000
TiO2-rutile,wide-gap,sputtering,0.5,3.0,1.2,1.0,0.3,500
TiO2-anatase,wide-gap,spin-coating,5.5,3.2,1.1,10.0,0.5,2000
Fe2O3,photoelectrode,spray-pyrolysis,1.0,2.1,0.8,3.0,0.4,1000
BiVO4,photoelectrode,spin-coating,3.0,2.4,1.0,5.0,0.55,2000
WO3,photoelectrode,sputtering,1.5,2.7,1.2,3.0,0.45,1500
CuBi2O4,photoelectrode,spin-coating,1.0,1.5,0.6,3.0,0.4,500
a-SiC:H,thin-film,PECVD,8.0,2.0,0.9,12.0,0.65,5000
a-SiGe:H,thin-film,PECVD,8.5,1.4,0.65,18.0,0.65,5000
Heterojunction-Si,HJT-Si,PECVD+Czochralski,26.8,1.12,0.75,42.5,0.84,100000
Tunnel-oxide-POLy-Si,TOPCon,LPCVD+Czochralski,26.1,1.12,0.74,42.0,0.84,100000
HJT-Perovskite-tandem,tandem,HJT+spin-coating,33.9,1.68,1.97,20.4,0.84,5000
